NewBasePrice,SellingStoresRatio,S_8qIm,S_Aunz,S_Mm5P,S_OzTP,S_UIpu,S_WeHS,S_qE16,S_sldf,S_xdDe,S_yo2Z,T_YXX
24.65,0.2143,False,False,False,False,False,False,False,False,False,False,False
19.23,0.3004,False,False,False,False,False,False,False,True,False,False,False
16.03,0.3076,False,True,False,False,False,False,False,False,False,False,False
18.28,0.658,False,False,False,False,False,False,False,False,False,True,False
22.35,0.0546,False,False,False,False,False,True,False,False,False,False,False
18.01,0.6376000000000001,False,True,False,False,False,False,False,False,False,False,False
24.64,0.2263,False,False,False,False,False,True,False,False,False,False,False
16.78,0.7184,False,False,True,False,False,False,False,False,False,False,False
14.11,0.5455,False,True,False,False,False,False,False,False,False,False,False
18.46,0.1272,False,True,False,False,False,False,False,False,False,False,True
19.48,0.2783,False,False,False,False,False,False,False,False,False,False,False
15.58,0.4764,False,False,False,False,False,False,False,False,False,True,False
25.16,0.1745,False,False,False,False,True,False,False,False,False,False,False
16.38,0.9697,False,False,False,False,False,False,False,False,False,True,False
19.58,0.9717,False,False,True,False,False,False,False,False,False,False,False
19.76,0.0664,False,False,False,False,False,False,False,False,False,True,True
15.44,0.0582,False,False,True,False,False,False,False,False,False,False,True
23.33,0.0866,False,False,False,False,False,False,False,False,False,True,True
14.46,0.0713,False,True,False,False,False,False,False,False,False,False,True
20.98,0.0753,False,False,True,False,False,False,False,False,False,False,True
38.0,0.0944,False,False,False,False,False,True,False,False,False,False,True
27.61,0.077,False,False,False,False,False,True,False,False,False,False,True
19.08,0.0329,False,True,False,False,False,False,False,False,False,False,True
20.74,0.4140999999999999,False,False,False,False,False,True,False,False,False,False,False
22.98,0.0127999999999999,False,False,False,False,False,True,False,False,False,False,True
25.33,0.1784,False,False,False,False,False,False,False,False,False,True,True
16.91,0.1155,False,True,False,False,False,False,False,False,False,False,True
24.23,0.754,False,False,False,False,False,False,False,False,True,False,False
19.84,0.2478,False,False,True,False,False,False,False,False,False,False,False
16.91,0.0461,False,False,False,False,False,False,False,False,False,True,True
19.65,0.0982,False,False,False,False,False,False,False,False,True,False,True
12.8,0.0722,False,False,False,False,False,False,False,True,False,False,True
21.02,0.2408,False,False,True,False,False,False,False,False,False,False,False
20.78,0.1271,False,False,False,False,False,False,False,False,True,False,False
12.67,0.1755,False,False,False,False,False,False,False,False,False,True,True
24.62,0.0608999999999999,False,False,False,False,False,True,False,False,False,False,True
17.73,0.3111,False,False,False,False,False,False,False,False,False,True,False
25.29,0.0842,False,False,False,False,False,False,True,False,False,False,False
14.48,0.1,False,False,True,False,False,False,False,False,False,False,True
24.3,0.2657,False,False,True,False,False,False,False,False,False,False,False
24.64,0.1,False,False,False,False,False,True,False,False,False,False,False
24.23,0.1021,False,False,False,False,False,False,False,False,True,False,True
24.19,0.1125,False,False,False,False,False,False,True,False,False,False,True
24.65,0.0294,False,False,False,False,False,False,False,False,False,False,True
22.14,0.0267999999999999,False,False,False,False,False,False,False,False,True,False,True
18.48,0.5899,False,False,False,False,False,False,False,False,False,True,False
20.48,0.069,False,False,False,False,False,False,False,False,False,True,True
25.5,0.3457,False,False,False,False,False,False,False,False,False,False,False
21.09,0.0866,False,False,False,False,False,False,False,False,False,False,False
20.18,0.6142000000000001,False,False,True,False,False,False,False,False,False,False,False
25.44,0.0989,False,False,False,False,False,False,True,False,False,False,True
19.73,0.1087,False,False,True,False,False,False,False,False,False,False,True
21.21,0.0858,False,False,True,False,False,False,False,False,False,False,True
22.75,0.0205,False,False,False,False,False,False,False,False,True,False,False
21.09,0.0838,False,False,False,False,False,False,False,False,False,False,True
25.44,0.132,False,False,False,False,False,False,True,False,False,False,False
13.68,0.5236,False,False,True,False,False,False,False,False,False,False,False
19.28,0.3789,False,False,False,False,False,False,False,False,False,True,False
17.91,0.2501,False,True,False,False,False,False,False,False,False,False,True
19.21,0.1152,False,False,True,False,False,False,False,False,False,False,True
18.43,0.5454,False,False,True,False,False,False,False,False,False,False,False
16.01,0.0593,False,False,False,False,False,False,False,False,False,True,True
21.09,0.2005,False,False,False,False,False,False,False,False,False,False,False
22.28,0.1001,False,False,True,False,False,False,False,False,False,False,False
20.94,0.2754,False,True,False,False,False,False,False,False,False,False,False
22.68,0.1404999999999999,False,False,False,False,False,True,False,False,False,False,False
25.16,0.201,False,False,False,False,True,False,False,False,False,False,False
22.73,0.9587,False,False,False,False,False,False,False,False,False,True,False
19.11,0.1834,False,False,False,False,False,False,False,False,True,False,False
24.62,0.3685,False,False,False,False,False,True,False,False,False,False,False
20.38,0.2502,False,False,True,False,False,False,False,False,False,False,False
20.74,0.0487,False,False,False,False,False,True,False,False,False,False,True
20.08,0.7352000000000001,False,False,False,False,False,False,False,False,False,True,False
22.75,0.01,False,False,False,False,False,False,False,False,True,False,True
24.08,0.4985,False,False,False,False,False,False,False,False,False,True,False
17.52,0.2855999999999999,False,False,False,False,False,True,False,False,False,False,False
19.58,0.1883,False,False,True,False,False,False,False,False,False,False,False
24.65,0.1887,False,False,False,False,False,False,False,False,False,False,False
20.78,0.0189,False,False,False,False,False,False,False,False,True,False,True
15.37,0.0239,False,False,False,False,False,False,False,False,False,False,True
20.66,0.0784,False,False,False,False,False,False,False,False,True,False,True
22.72,0.2502,False,False,False,False,False,False,False,False,True,False,False
16.28,0.3439,False,True,False,False,False,False,False,False,False,False,False
20.21,0.0809,False,True,False,False,False,False,False,False,False,False,True
19.85,0.2665,False,False,False,True,False,False,False,False,False,False,False
17.18,0.23,False,False,True,False,False,False,False,False,False,False,False
21.21,0.1825,False,False,False,False,False,True,False,False,False,False,True
17.89,0.0629,False,False,False,False,False,False,False,False,False,False,True
16.46,0.1456,False,True,False,False,False,False,False,False,False,False,True
23.33,0.0715,False,False,False,False,False,False,False,False,False,True,True
25.98,0.1628,False,False,True,False,False,False,False,False,False,False,False
18.08,0.1042,False,False,False,False,True,False,False,False,False,False,True
24.3,0.0368,False,False,True,False,False,False,False,False,False,False,True
23.77,0.0648,False,True,False,False,False,False,False,False,False,False,True
22.38,0.3436,False,False,True,False,False,False,False,False,False,False,False
17.78,0.4769,True,False,False,False,False,False,False,False,False,False,False
16.83,0.038,False,False,True,False,False,False,False,False,False,False,True
23.53,0.0701,False,False,False,False,False,True,False,False,False,False,False
19.91,0.2382,False,False,False,False,False,False,False,False,False,True,True
12.8,0.1362,False,False,False,False,False,False,False,True,False,False,True
13.01,0.726,False,True,False,False,False,False,False,False,False,False,False
15.05,0.1084,False,False,False,False,False,False,False,False,False,True,True
24.64,0.0148,False,False,False,False,False,True,False,False,False,False,True
25.29,0.096,False,False,False,False,False,False,True,False,False,False,True
22.68,0.0565,False,False,False,False,False,True,False,False,False,False,True
25.16,1.0593,False,False,False,False,True,False,False,False,False,False,False
15.83,0.0659,False,False,False,False,False,False,False,False,False,False,True
18.43,0.5659,False,False,True,False,False,False,False,False,False,False,False
11.11,0.0607999999999999,False,True,False,False,False,False,False,False,False,False,True
19.65,0.6968,False,False,False,False,False,False,False,False,True,False,False
17.96,0.0933,False,False,True,False,False,False,False,False,False,False,True
20.28,0.2431,False,False,False,False,False,False,False,False,True,False,False
21.42,0.049,False,False,False,False,False,False,False,False,True,False,True
19.18,0.5261,False,False,False,False,False,False,False,False,True,False,False
21.03,0.1687,False,False,False,False,False,False,False,False,False,False,False
20.72,0.5789,False,True,False,False,False,False,False,False,False,False,False
13.91,0.1241,False,False,False,False,False,False,False,True,False,False,True
12.8,0.5662,False,False,False,False,False,False,False,True,False,False,False
19.23,0.3552999999999999,False,False,False,False,False,False,False,True,False,False,False
20.94,0.0924,False,True,False,False,False,False,False,False,False,False,True
24.21,0.0835,False,False,False,False,False,False,True,False,False,False,True
25.23,0.1486,False,False,False,False,False,False,False,False,True,False,False
16.23,0.7019000000000001,False,False,False,False,False,False,False,True,False,False,False
30.51,0.055,False,False,False,False,False,False,False,False,False,True,True
12.8,0.5127,False,False,False,False,False,False,False,True,False,False,False
23.53,0.2206,False,False,False,False,False,True,False,False,False,False,False
21.48,0.27,False,False,True,False,False,False,False,False,False,False,False
20.66,0.3919,False,False,False,False,False,False,False,False,True,False,False
21.82,0.3409,False,False,True,False,False,False,False,False,False,False,False
19.48,0.3125,False,True,False,False,False,False,False,False,False,False,False
15.37,0.0098999999999999,False,False,False,False,False,False,False,False,False,False,True
19.85,0.0828,False,False,False,True,False,False,False,False,False,False,True
19.65,0.2241,False,False,False,False,False,False,False,False,True,False,False
12.8,0.0721,False,False,False,False,False,False,False,True,False,False,True
19.91,0.2113,False,False,False,False,False,False,False,False,False,True,True
18.43,0.6418999999999999,False,False,True,False,False,False,False,False,False,False,False
13.91,0.0243,False,False,True,False,False,False,False,False,False,False,True
12.8,0.5902,False,False,False,False,False,False,False,True,False,False,False
23.96,0.1038,False,False,True,False,False,False,False,False,False,False,True
25.86,0.1196,False,False,True,False,False,False,False,False,False,False,False
14.03,0.0829,False,False,False,False,False,False,False,True,False,False,True
20.42,0.1886,False,False,False,False,False,False,False,False,True,False,False
13.88,0.7097,False,True,False,False,False,False,False,False,False,False,False
18.08,0.095,False,False,False,False,True,False,False,False,False,False,True
12.46,0.1316,False,True,False,False,False,False,False,False,False,False,True
23.44,0.2362,False,False,False,False,False,False,False,False,True,False,False
20.48,0.0917,False,False,True,False,False,False,False,False,False,False,True
16.38,0.8465,False,False,True,False,False,False,False,False,False,False,False
14.23,0.7575,False,False,False,False,False,False,False,False,False,True,False
15.58,0.1628,False,False,True,False,False,False,False,False,False,False,False
22.75,0.1345,False,False,False,False,False,False,False,False,True,False,False
25.44,0.2541,False,False,False,False,False,False,True,False,False,False,False
22.75,0.2582,False,False,False,False,False,False,False,False,True,False,False
14.48,0.3626,False,False,True,False,False,False,False,False,False,False,False
22.96,0.009,False,True,False,False,False,False,False,False,False,False,True
24.76,0.137,False,False,False,False,False,False,False,False,False,True,True
15.05,0.1984,False,False,False,False,False,False,False,False,False,True,True
17.91,0.24,False,False,False,False,False,False,False,False,False,True,True
19.23,0.70935,False,False,False,False,False,False,False,False,False,True,False
22.08,0.086,False,False,False,False,False,False,False,False,False,True,True
17.78,0.721,False,False,True,False,False,False,False,False,False,False,False
20.73,0.6729,False,False,False,False,False,False,False,False,False,True,False
24.23,0.0401,False,False,False,False,False,False,False,False,True,False,True
20.48,0.0467,False,False,True,False,False,False,False,False,False,False,True
17.52,0.081,False,False,False,False,False,True,False,False,False,False,False
22.98,0.2127,False,False,False,False,False,True,False,False,False,False,False
20.98,0.143,False,False,True,False,False,False,False,False,False,False,False
21.42,0.1263,False,False,False,False,False,False,False,False,True,False,False
16.83,0.0703,False,False,True,False,False,False,False,False,False,False,True
15.83,0.1289,False,False,True,False,False,False,False,False,False,False,True
25.68,0.0848,False,False,True,False,False,False,False,False,False,False,True
15.05,0.1388,False,False,False,False,False,False,False,False,False,True,True
